composition_id,composition_key,primary_pipeline_id,aliases,bootstrap,key_schedule,enhancement,hardening,authentication,transport,operational_defense
COMP_5088abcfdffc,MLKEM|HKDF|NONE|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,P1_PQC_MLDSA,"['P1_PQC_MLDSA', 'A1_PQC_AUTH']",MLKEM,HKDF,NONE,NONE,MLDSA,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_ae859146ecc4,MLKEM|HKDF|NONE|LINDBLAD|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,P2_PQC_MLDSA_LINDBLAD,['P2_PQC_MLDSA_LINDBLAD'],MLKEM,HKDF,NONE,LINDBLAD,MLDSA,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_886f1301e178,MLKEM|HKDF|QKD_BB84|NONE|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,P3_HYBRID_QKD,"['P3_HYBRID_QKD', 'A3_HYBRID_QKD']",MLKEM,HKDF,QKD_BB84,NONE,HMAC,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_b1ff25c404c3,MLKEM|HKDF|QKD_BB84|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,P4_HYBRID_QKD_LINDBLAD,"['P4_HYBRID_QKD_LINDBLAD', 'A5_HYBRID_QKD_LINDBLAD']",MLKEM,HKDF,QKD_BB84,LINDBLAD,HMAC,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_bf4950b52252,X25519_BASELINE|HKDF|NONE|NONE|ED25519_BASELINE|AEAD_CHACHA20_POLY1305|REPLAY_ON,B1_CLASSICAL,['B1_CLASSICAL'],X25519_BASELINE,HKDF,NONE,NONE,ED25519_BASELINE,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_792d5d7e32bd,MLKEM|HKDF|NONE|NONE|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,B2_MINIMAL_PQC,"['B2_MINIMAL_PQC', 'A0_MINIMAL_PQC']",MLKEM,HKDF,NONE,NONE,HMAC,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_2c4959b9b429,MLKEM|HKDF|NONE|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,A2_PQC_LINDBLAD,['A2_PQC_LINDBLAD'],MLKEM,HKDF,NONE,LINDBLAD,HMAC,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_70678793c70b,MLKEM|HKDF|QKD_BB84|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,A4_HYBRID_QKD_AUTH,['A4_HYBRID_QKD_AUTH'],MLKEM,HKDF,QKD_BB84,NONE,MLDSA,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_7d6120b17b53,MLKEM|HKDF|QKD_BB84|LINDBLAD|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,A6_FULL_HARDENED,['A6_FULL_HARDENED'],MLKEM,HKDF,QKD_BB84,LINDBLAD,MLDSA,AEAD_CHACHA20_POLY1305,REPLAY_ON
COMP_cf32dec04168,MLKEM|HKDF|NONE|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_OFF,A7_PQC_AUTH_NO_REPLAY,['A7_PQC_AUTH_NO_REPLAY'],MLKEM,HKDF,NONE,NONE,MLDSA,AEAD_CHACHA20_POLY1305,REPLAY_OFF
COMP_22280d79fc05,MLKEM|HKDF|QKD_BB84|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_OFF,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,['A8_HYBRID_QKD_LINDBLAD_NO_REPLAY'],MLKEM,HKDF,QKD_BB84,LINDBLAD,HMAC,AEAD_CHACHA20_POLY1305,REPLAY_OFF
