pipeline_id,composition_id,composition_key,primary_pipeline_id
P1_PQC_MLDSA,COMP_5088abcfdffc,MLKEM|HKDF|NONE|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,P1_PQC_MLDSA
A1_PQC_AUTH,COMP_5088abcfdffc,MLKEM|HKDF|NONE|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,P1_PQC_MLDSA
P2_PQC_MLDSA_LINDBLAD,COMP_ae859146ecc4,MLKEM|HKDF|NONE|LINDBLAD|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,P2_PQC_MLDSA_LINDBLAD
P3_HYBRID_QKD,COMP_886f1301e178,MLKEM|HKDF|QKD_BB84|NONE|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,P3_HYBRID_QKD
A3_HYBRID_QKD,COMP_886f1301e178,MLKEM|HKDF|QKD_BB84|NONE|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,P3_HYBRID_QKD
P4_HYBRID_QKD_LINDBLAD,COMP_b1ff25c404c3,MLKEM|HKDF|QKD_BB84|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,P4_HYBRID_QKD_LINDBLAD
A5_HYBRID_QKD_LINDBLAD,COMP_b1ff25c404c3,MLKEM|HKDF|QKD_BB84|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,P4_HYBRID_QKD_LINDBLAD
B1_CLASSICAL,COMP_bf4950b52252,X25519_BASELINE|HKDF|NONE|NONE|ED25519_BASELINE|AEAD_CHACHA20_POLY1305|REPLAY_ON,B1_CLASSICAL
B2_MINIMAL_PQC,COMP_792d5d7e32bd,MLKEM|HKDF|NONE|NONE|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,B2_MINIMAL_PQC
A0_MINIMAL_PQC,COMP_792d5d7e32bd,MLKEM|HKDF|NONE|NONE|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,B2_MINIMAL_PQC
A2_PQC_LINDBLAD,COMP_2c4959b9b429,MLKEM|HKDF|NONE|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_ON,A2_PQC_LINDBLAD
A4_HYBRID_QKD_AUTH,COMP_70678793c70b,MLKEM|HKDF|QKD_BB84|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,A4_HYBRID_QKD_AUTH
A6_FULL_HARDENED,COMP_7d6120b17b53,MLKEM|HKDF|QKD_BB84|LINDBLAD|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_ON,A6_FULL_HARDENED
A7_PQC_AUTH_NO_REPLAY,COMP_cf32dec04168,MLKEM|HKDF|NONE|NONE|MLDSA|AEAD_CHACHA20_POLY1305|REPLAY_OFF,A7_PQC_AUTH_NO_REPLAY
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,COMP_22280d79fc05,MLKEM|HKDF|QKD_BB84|LINDBLAD|HMAC|AEAD_CHACHA20_POLY1305|REPLAY_OFF,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY
