pipeline_id,success_rate_mean,effective_total_ms_p50_mean,effective_total_ms_p95_mean,throughput_bits_per_sec_p50_mean,qber_p50_mean,security_score,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,aead_key_byte_shannon_entropy,aead_key_byte_min_entropy,randomness_pass_rate,key_avalanche_mean,ciphertext_avalanche_mean,normalized_mi_mean,overall_attack_success_rate
A0_MINIMAL_PQC,1.0,1530.0092935,1632.8637865,2990.091915894062,,0.7089455309114432,0.7697637617913192,0.75,0.9940215455840457,0.0245067931300325,1.0,1.0,6.924577149057244,5.584962500721156,0.75,0.5052083333333334,0.5007701210826211,0.9727702298555192,0.0
A1_PQC_AUTH,1.0,1566.2950295,1633.38077165,2879.9014098791126,,0.7097190370166996,0.7655073089943982,0.75,0.985648148148148,0.0399749377293887,1.0,1.0,7.009288932945215,5.584962500721156,0.75,0.48828125,0.4973668981481481,0.958093602802092,0.0
A2_PQC_LINDBLAD,1.0,1569.2250115714285,1685.0469594,4568.9587172413585,,0.7373494375591623,0.8790009125128998,0.75,0.9852297008547009,0.036573771513661,1.0,1.0,7.680516661423697,6.584962500721156,0.75,0.51171875,0.4969484508547008,0.9540263700161562,0.0
A3_HYBRID_QKD,0.9487179487179488,1602.4716585384615,1633.3793870923075,4730.434337572764,0.019199440257523695,0.7382042538333835,0.8828339212842458,0.75,0.9952863470441596,0.0413346200990033,1.0,0.9487179487179488,7.734949391456116,6.523561956057013,0.75,0.4996744791666667,0.5043881321225071,0.9547639148822072,0.0
A4_HYBRID_QKD_AUTH,0.9743589743589743,1573.313031076923,1664.5872620153846,4840.374626678624,0.01449573147779204,0.7384048685662148,0.8818149834759933,0.75,0.9956385772792022,0.0369369369369369,1.0,0.9743589743589745,7.741195552936982,6.2630344058337934,0.75,0.50390625,0.5004551727207978,0.9585585585585584,0.0
A5_HYBRID_QKD_LINDBLAD,0.9629629629629629,1607.3383148888888,1692.451312988889,4841.133989392178,0.014665156555362123,0.7348028562086962,0.8781876602240758,0.75,0.975,0.0417889650226458,1.0,0.9629629629629628,7.740369148759367,6.415037499278844,0.75,0.5208333333333334,0.5041666666666667,0.9558736408161078,0.0
A6_FULL_HARDENED,0.9814814814814815,1610.2888748888888,1689.2444456888888,4840.097414593296,0.010685825890515943,0.7373459750174515,0.8845100863109849,0.75,0.990552105591168,0.0303078176347799,1.0,0.9814814814814816,7.755211883068426,6.415037499278844,0.75,0.5081380208333334,0.5013098735754985,0.9609334699729948,0.0
A7_PQC_AUTH_NO_REPLAY,1.0,1494.0942085000001,1515.033649,3067.4026889678253,,0.6761634883615535,0.7867247137391419,0.75,0.994767183048433,0.0388361623475155,0.8,1.0,6.968797070909707,6.0,0.75,0.49609375,0.498673433048433,0.95171261383547,0.2
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1.0,1589.2777056666666,1629.9521389666668,4915.773774884323,0.010517030577107327,0.6958038790009193,0.8974662324939768,0.75,0.9741030092592592,0.0141093474426807,0.8,1.0,7.763719247919497,6.777607578663552,0.75,0.4772135416666667,0.4968894675925925,0.9770723104056436,0.2
B1_CLASSICAL,0.9814814814814815,1880.9530046388888,3112.8381123388885,7536.053675444296,,0.7380076934116316,0.887684495869173,0.75,0.9845558449074072,0.0341455931707662,1.0,0.9814814814814816,7.730860792997783,6.584962500721156,0.75,0.5146484375,0.5007957175925927,0.9592957644517458,0.0
B2_MINIMAL_PQC,0.9814814814814815,1871.7847806944446,1998.0258374194445,7616.188474471277,,0.7423205689146781,0.8840988477144174,0.75,0.9915726273148148,0.0549294440738877,1.0,0.9814814814814816,7.760507617241629,6.415037499278844,0.75,0.4990234375,0.5074508101851852,0.9411054800646252,0.0
P1_PQC_MLDSA,0.9907407407407407,1950.6776234722222,2053.5093912722223,7571.658081651806,,0.6954077345302737,0.8814290604625935,0.75,0.9908854166666669,0.0219030993879413,0.8,0.9907407407407408,7.699349793384107,6.2630344058337934,0.75,0.4915364583333333,0.5006510416666666,0.9726211257650732,0.2
P2_PQC_MLDSA_LINDBLAD,0.983739837398374,1832.900553804878,1936.739120897561,7342.937883256216,,0.6613329894049848,0.8866010676312208,0.5,0.994285300925926,0.0317646774418595,0.8,0.983739837398374,7.75612132739395,6.584962500721156,0.5,0.5045572916666666,0.5011574074074074,0.9634070266694748,0.2
P3_HYBRID_QKD,0.9503546099290779,1802.7299084680851,1862.3615054489362,6956.451345779172,0.005852918056783099,0.6972261943622996,0.8830583547843085,0.75,0.994429976851852,0.0363968932099543,0.8,0.950354609929078,7.753070510180046,6.584962500721156,0.75,0.49609375,0.4983362268518518,0.9593566680621164,0.2
P4_HYBRID_QKD_LINDBLAD,0.9487179487179488,1730.3412835576923,2617.349221075,6428.415710261906,0.0038222670036606923,0.6946250608968083,0.8808829749407642,0.75,0.977611400462963,0.0391335482813771,0.8,0.9487179487179488,7.711939043132592,6.415037499278844,0.75,0.4788411458333333,0.5012297453703703,0.9534789351832774,0.2
