pipeline_id,sample_count,key_avalanche_mean,key_avalanche_std,ciphertext_avalanche_mean,ciphertext_avalanche_std
A0_MINIMAL_PQC,6,0.5052083333333334,0.03366332427199765,0.5007701210826211,0.007881336045175182
A1_PQC_AUTH,6,0.48828125,0.032960973608951546,0.4973668981481481,0.006597143373146109
A2_PQC_LINDBLAD,12,0.51171875,0.03433785441373176,0.49694845085470085,0.006680354559265065
A3_HYBRID_QKD,12,0.4996744791666667,0.022865798021593286,0.5043881321225071,0.008231822201239693
A4_HYBRID_QKD_AUTH,12,0.50390625,0.027871330781745144,0.5004551727207978,0.009826020007124875
A5_HYBRID_QKD_LINDBLAD,12,0.5208333333333334,0.030089114604925395,0.5041666666666667,0.008861090348752872
A6_FULL_HARDENED,12,0.5081380208333334,0.044583499965394145,0.5013098735754985,0.006429348113252102
A7_PQC_AUTH_NO_REPLAY,6,0.49609375,0.028276501673209158,0.49867343304843303,0.005170954426971709
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,12,0.4772135416666667,0.029741341228627396,0.49688946759259256,0.012627002020973797
B1_CLASSICAL,12,0.5146484375,0.037767048953859766,0.5007957175925927,0.012273136484170145
B2_MINIMAL_PQC,12,0.4990234375,0.028419631389779952,0.5074508101851852,0.015227379412580105
P1_PQC_MLDSA,12,0.4915364583333333,0.022949061340933417,0.5006510416666666,0.014288200197600631
P2_PQC_MLDSA_LINDBLAD,12,0.5045572916666666,0.03271738333228593,0.5011574074074074,0.017207867442733105
P3_HYBRID_QKD,12,0.49609375,0.030531513153699775,0.49833622685185186,0.009576966144553672
P4_HYBRID_QKD_LINDBLAD,12,0.4788411458333333,0.049675413871572593,0.5012297453703703,0.016878789131252705
