pipeline_id,sample_count,mi_keybyte0_ctbyte0_bits,mi_keybyte0_ctbyte1_bits,mi_keybyte0_tagbyte0_bits,normalized_mi_mean,normalized_mi_max
A0_MINIMAL_PQC,64,5.394454882778695,5.59375,5.40625,0.9555966416191589,0.9781420765027322
A1_PQC_AUTH,64,5.5,5.644454882778695,5.59375,0.9547639148822071,0.9658960227214879
A2_PQC_LINDBLAD,64,5.59375,5.413909765557392,5.550704882778696,0.954716520264423,0.9675675675675676
A3_HYBRID_QKD,64,5.402114648336087,5.538909765557391,5.320159765557391,0.9623153096567756,0.9833559980715925
A4_HYBRID_QKD_AUTH,64,5.6875,5.675704882778696,5.65625,0.9708066956308703,0.9732620320855615
A5_HYBRID_QKD_LINDBLAD,64,5.519454882778696,5.519454882778696,5.613204882778695,0.949853241972825,0.9605484291386003
A6_FULL_HARDENED,64,5.5625,5.382659765557392,5.53125,0.9499911936897956,0.9621621621621622
A7_PQC_AUTH_NO_REPLAY,64,5.359069531114782,5.402114648336087,5.421569531114783,0.9471641637655228,0.9519609202015368
A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,64,5.425704882778697,5.550704882778696,5.581954882778696,0.9566683499430376,0.9675012624572781
B1_CLASSICAL,64,5.394454882778695,5.456954882778696,5.550704882778696,0.9686270265223277,0.9833907787471147
B2_MINIMAL_PQC,64,5.6875,5.675704882778696,5.71875,0.9743717580194621,0.9786096256684492
P1_PQC_MLDSA,64,5.519454882778696,5.5625,5.59375,0.9667075294364462,0.9728260869565217
P2_PQC_MLDSA_LINDBLAD,64,5.65625,5.644454882778696,5.5625,0.9618940396593908,0.9679144385026738
P3_HYBRID_QKD,64,5.468749999999999,5.425704882778698,5.456954882778696,0.953087636608081,0.9562841530054643
P4_HYBRID_QKD_LINDBLAD,64,5.382659765557392,5.351409765557391,5.538909765557392,0.9504764876611348,0.970554328766748
