model_name,feature,built_in_importance,permutation_importance_mean,permutation_importance_std
RandomForest,cpu_stress_level,0.15202038516376976,0.0356060606060606,0.02157428919075476
RandomForest,LINDBLAD_STEPS,0.16104013120715524,0.031060606060606046,0.007537783614444091
RandomForest,network_delay_ms,0.0647268107506073,0.003787878787878783,0.017847301499075367
RandomForest,feature_latency_priority,0.07099127709975941,0.003030303030303022,0.011338355717496792
RandomForest,N_RAW,0.11409898080804172,0.0015151515151515138,0.004545454545454541
RandomForest,LINDBLAD_TAU,0.05395791131008505,0.0007575757575757569,0.003302196169348992
RandomForest,QBER_MAX,0.05443552508090234,0.0,0.0
RandomForest,packet_loss_pct,0.0,0.0,0.0
RandomForest,SAMPLE_FRAC,0.0,0.0,0.0
RandomForest,LINDBLAD_GAMMA,0.0,0.0,0.0
RandomForest,feature_robustness_priority,0.06260121631010902,-0.003787878787878796,0.012562972690740151
RandomForest,feature_throughput_priority,0.0667564223308658,-0.009848484848484855,0.009906588508046987
RandomForest,msg_len_bytes,0.07493796082500283,-0.009848484848484858,0.02209992749365882
RandomForest,feature_security_priority,0.0700833318181763,-0.010606060606060615,0.006943296507508854
RandomForest,P_NOISE,0.054350047295525374,-0.03787878787878788,0.010163945352271777
